owned,master_rank,skill_level,,,character,unit,id,seq,characterId,cardRarityType,attr,supportUnit,skillId,cardSkillName,prefix,assetbundleName,releaseAt,type,,0
FALSE,,,,,星乃一歌,ln,1,10,1,1,cool,none,1,足元の小さな花,クールだけど友達想い,res001_no001,2019-01-01 15:00,perm,,
FALSE,,,,,星乃一歌,ln,2,20,1,2,happy,none,2,精一杯の韻を踏んで,Leo/need,res001_no002,2019-01-01 15:00,perm,,
FALSE,,,,,星乃一歌,ln,3,30,1,3,mysterious,none,6,踏み出した一歩,見上げる先に,res001_no003,2019-01-01 15:00,perm,,
FALSE,,,,,星乃一歌,ln,4,40,1,4,cute,none,10,不安を拭い去って,夜明け前の語らい,res001_no004,2019-01-01 15:00,perm,,
FALSE,,,,,天馬咲希,ln,5,50,2,1,cute,none,1,青春しよう！,いつも明るいムードメーカー,res002_no001,2019-01-01 15:00,perm,,
FALSE,,,,,天馬咲希,ln,6,60,2,2,pure,none,8,食べすぎはぷよぷよのもと,Leo/need,res002_no002,2019-01-01 15:00,perm,,
FALSE,,,,,天馬咲希,ln,7,70,2,3,cool,none,6,今も未来も,やりたい100のこと,res002_no003,2019-01-01 15:00,perm,,
FALSE,,,,,望月穂波,ln,9,90,3,1,mysterious,none,1,アップルパイください,みんなに優しい優等生,res003_no001,2019-01-01 15:00,perm,,
FALSE,,,,,望月穂波,ln,10,100,3,2,cool,none,5,変わっていかなくちゃ,Leo/need,res003_no002,2019-01-01 15:00,perm,,
FALSE,,,,,望月穂波,ln,11,110,3,3,happy,none,9,近いのに遠いわたし達,味は変わらないのに,res003_no003,2019-01-01 15:00,perm,,
FALSE,,,,,日野森志歩,ln,13,130,4,1,happy,none,1,マメなお世話が大事,馴れ合いを嫌う一匹狼,res004_no001,2019-01-01 15:00,perm,,
FALSE,,,,,日野森志歩,ln,14,140,4,2,mysterious,none,5,本当、これだから…,Leo/need,res004_no002,2019-01-01 15:00,perm,,
FALSE,,,,,日野森志歩,ln,15,150,4,3,cute,none,3,懐かしい思い出,胸に残る旋律,res004_no003,2019-01-01 15:00,perm,,
FALSE,,,,,花里みのり,mmj,17,170,5,1,pure,none,1,イエトレ？,めざせアイドル！,res005_no001,2019-01-01 15:00,perm,,
FALSE,,,,,花里みのり,mmj,18,180,5,2,cool,none,5,キャッチフレーズノート！,MORE MORE JUMP！,res005_no002,2019-01-01 15:00,perm,,
FALSE,,,,,花里みのり,mmj,19,190,5,3,cute,none,9,届け、この想い！,ライブ前夜の決意,res005_no003,2019-01-01 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,21,210,6,1,happy,none,1,アイドルじゃない私を,国民的アイドルだった少女,res006_no001,2019-01-01 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,22,220,6,2,pure,none,2,全部、２個ずつください,MORE MORE JUMP！,res006_no002,2019-01-01 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,23,230,6,3,cool,none,6,親友がくれたやすらぎ,アイドルじゃない私,res006_no003,2019-01-01 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,25,250,7,1,mysterious,none,1,わたしに任せなさい！,不屈のアイドル魂,res007_no001,2019-01-01 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,26,260,7,2,cute,none,8,アンタは顔を隠しなさい！,MORE MORE JUMP！,res007_no002,2019-01-01 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,27,270,7,3,pure,none,6,これがアイドルの極意よ！,夢を応援！,res007_no003,2019-01-01 15:00,perm,,
FALSE,,,,,日野森雫,mmj,29,290,8,1,cute,none,1,ここはどこ？,美貌の現役アイドル,res008_no001,2019-01-01 15:00,perm,,
FALSE,,,,,日野森雫,mmj,30,300,8,2,mysterious,none,8,いつか胸をはれるように,MORE MORE JUMP！,res008_no002,2019-01-01 15:00,perm,,
FALSE,,,,,日野森雫,mmj,31,310,8,3,happy,none,3,私がなりたいアイドルは…,華やかな現場で,res008_no003,2019-01-01 15:00,perm,,
FALSE,,,,,小豆沢こはね,vbs,33,330,9,1,pure,none,1,フェニランマニアの実力,内気な小動物,res009_no001,2019-01-01 15:00,perm,,
FALSE,,,,,小豆沢こはね,vbs,34,340,9,2,mysterious,none,2,シャッターチャンスは逃さない,Vivid BAD SQUAD,res009_no002,2019-01-01 15:00,perm,,
FALSE,,,,,小豆沢こはね,vbs,35,350,9,3,cool,none,3,ふー。ふー。,セカイで一息,res009_no003,2019-01-01 15:00,perm,,
FALSE,,,,,白石杏,vbs,37,370,10,1,cute,none,1,幽霊なんていないから！,カリスマシンガー,res010_no001,2019-01-01 15:00,perm,,
FALSE,,,,,白石杏,vbs,38,380,10,2,cool,none,5,私のオススメ！,Vivid BAD SQUAD,res010_no002,2019-01-01 15:00,perm,,
FALSE,,,,,白石杏,vbs,39,390,10,3,pure,none,9,いらっしゃい！,絶賛、手伝い中！,res010_no003,2019-01-01 15:00,perm,,
FALSE,,,,,東雲彰人,vbs,41,410,11,1,happy,none,1,ちょっとびっくりしただけだ,一目置かれる実力者,res011_no001,2019-01-01 15:00,perm,,
FALSE,,,,,東雲彰人,vbs,42,420,11,2,cute,none,8,とことん付き合ってもらうぞ,Vivid BAD SQUAD,res011_no002,2019-01-01 15:00,perm,,
FALSE,,,,,東雲彰人,vbs,43,430,11,3,happy,none,6,半端なヤツはぶっ潰す,滲む苛立ち,res011_no003,2019-01-01 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,45,450,12,1,cool,none,1,里親募集中,クラシックの秀才,res012_no001,2019-01-01 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,46,460,12,2,happy,none,2,お前がうらやましい,Vivid BAD SQUAD,res012_no002,2019-01-01 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,47,470,12,3,cute,none,6,先輩からのフォロー,絶たれた絆,res012_no003,2019-01-01 15:00,perm,,
FALSE,,,,,天馬司,wxs,49,490,13,1,happy,none,1,感謝のしるしだ,いつかはスター！,res013_no001,2019-01-01 15:00,perm,,
FALSE,,,,,天馬司,wxs,50,500,13,2,cute,none,5,シュッシュキレイ、ゴーゴー！,ワンダーランズ×ショウタイム,res013_no002,2019-01-01 15:00,perm,,
